brightness,temperature,humidity,motion_detected,output
941,27.79,67.78,0,0
940,27.79,67.78,0,0
941,27.79,67.78,0,0
941,27.79,67.76,0,0
940,27.79,67.76,0,0
940,27.8,67.8,0,0
941,27.8,67.8,0,0
941,27.79,67.79,0,0
940,27.79,67.79,0,0
940,27.79,67.81,0,0
941,27.79,67.81,0,0
932,27.79,67.79,0,0
945,27.79,67.79,0,0
930,27.79,67.81,0,0
941,27.79,67.81,0,0
936,27.79,67.81,0,0
940,27.77,67.8,0,0
941,27.77,67.8,0,0
941,27.8,67.8,1,0
941,27.8,67.8,1,0
940,27.79,67.81,1,0
940,27.79,67.81,1,0
929,27.8,67.85,1,0
941,27.8,67.85,1,0
940,27.79,67.83,1,0
931,27.79,67.83,1,0
941,27.8,67.86,1,0
939,27.8,67.86,1,0
941,27.81,67.83,1,0
941,27.81,67.83,1,0
941,27.8,67.85,0,0
936,27.8,67.85,0,0
936,27.81,67.85,0,0
935,27.81,67.85,0,0
941,27.8,67.83,0,0
941,27.8,67.83,0,0
943,27.81,67.81,0,0
936,27.81,67.81,0,0
935,27.8,67.81,0,0
940,27.8,67.81,1,0
941,27.8,67.81,1,0
941,27.83,67.8,1,0
943,27.83,67.8,1,0
940,27.8,67.88,1,0
935,27.8,67.88,1,0
935,27.81,67.95,1,0
936,27.81,67.95,1,0
935,27.79,67.94,1,0
936,27.79,67.94,1,0
940,27.81,67.99,1,0
939,27.81,67.99,1,0
935,27.8,67.96,1,0
941,27.8,67.96,1,0
932,27.8,67.93,1,0
941,27.8,67.93,1,0
937,27.81,67.93,1,0
941,27.81,67.93,1,0
940,27.8,67.92,1,0
940,27.8,67.92,1,0
941,27.81,67.89,1,0
941,27.81,67.89,0,0
941,27.8,67.9,0,0
940,27.8,67.9,0,0
940,27.8,67.9,0,0
941,27.82,67.86,0,0
940,27.82,67.86,0,0
940,27.8,67.87,0,0
940,27.8,67.87,0,0
936,27.82,67.87,0,0
943,27.82,67.87,0,0
945,27.81,67.82,0,0
940,27.81,67.82,0,0
936,27.82,67.77,0,0
939,27.82,67.77,0,0
940,27.81,67.82,0,0
940,27.81,67.82,0,0
936,27.82,67.79,0,0
940,27.82,67.79,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
941,27.83,67.79,0,0
941,27.83,67.79,0,0
941,27.82,67.77,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
941,27.82,67.77,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
940,27.82,67.77,0,0
941,27.82,67.77,0,0
941,27.8,67.74,1,0
939,27.8,67.74,1,0
941,27.8,67.74,1,0
935,27.8,67.74,1,0
936,27.82,67.77,1,0
940,27.82,67.77,0,0
940,27.83,67.75,0,0
941,27.83,67.75,0,0
920,27.83,67.77,0,0
941,27.83,67.77,0,0
941,27.83,67.76,0,0
2,28.52,76.17,0,0
0,28.52,76.17,0,0
0,28.53,76.24,0,0
0,28.53,76.24,0,0
0,28.5,76.24,0,0
0,28.5,76.24,0,0
0,28.51,76.36,0,0
0,28.51,76.36,0,0
0,28.52,76.42,0,0
0,28.52,76.42,0,0
0,28.53,76.51,0,0
0,28.53,76.51,0,0
0,28.53,76.57,0,0
0,28.53,76.57,0,0
0,28.52,76.56,0,0
0,28.52,76.56,0,0
0,28.52,76.59,0,0
0,28.52,76.59,0,0
0,28.53,76.62,0,0
0,28.53,76.62,0,0
0,28.54,76.58,0,0
0,28.54,76.58,0,0
0,28.51,76.59,0,0
0,28.51,76.59,0,0
0,28.51,76.59,0,0
0,28.54,76.59,0,0
0,28.54,76.59,0,0
0,28.53,76.53,0,0
0,28.53,76.53,0,0
0,28.53,76.46,0,0
0,28.53,76.46,0,0
0,28.52,76.43,0,0
0,28.52,76.43,0,0
0,28.54,76.39,0,0
0,28.54,76.39,0,0
0,28.53,76.32,0,0
3,28.53,76.32,0,0
8,28.52,76.22,0,0
4,28.52,76.22,0,0
3,28.53,76.14,0,0
5,28.53,76.14,0,0
4,28.54,76.07,0,0
6,28.54,76.07,0,0
6,28.54,76.06,0,0
4,28.54,76.06,0,0
6,28.53,76.1,0,0
5,28.53,76.1,0,0
6,28.54,76.13,0,0
6,28.54,76.13,0,0
9,28.53,76.26,0,0
14,28.53,76.26,0,0
15,28.53,76.26,0,0
17,28.54,76.33,0,0
17,28.54,76.33,0,0
18,28.54,76.39,0,0
16,28.54,76.39,0,0
1,28.56,76.38,0,0
0,28.56,76.38,0,0
0,28.54,76.26,0,0
0,28.54,76.26,0,0
0,28.54,76.19,0,0
0,28.54,76.19,0,0
0,28.53,76.14,0,0
0,28.53,76.14,0,0
0,28.55,76.19,0,0
0,28.55,76.19,0,0
0,28.54,76.27,0,0
0,28.54,76.27,0,0
0,28.54,76.19,0,0
0,28.54,76.19,0,0
0,28.54,76.18,0,0
0,28.54,76.18,0,0
0,28.53,76.06,0,0
0,28.53,76.06,0,0
0,28.53,76.06,0,0
0,28.54,76.02,0,0
0,28.54,76.02,0,0
0,28.53,76.03,0,0
0,28.53,76.03,0,0
0,28.54,76.0,0,0
0,28.54,76.0,0,0
0,28.54,75.96,0,0
0,28.54,75.96,0,0
0,28.53,75.87,0,0
0,28.53,75.87,0,0
2,28.55,75.74,0,0
0,28.55,75.74,0,0
0,28.54,75.65,0,0
0,28.54,75.65,0,0
0,28.54,75.65,0,0
0,28.54,75.65,0,0
0,28.55,75.71,0,0
0,28.55,75.71,0,0
0,28.55,75.78,0,0
0,28.55,75.78,0,0
0,28.56,75.84,0,0
0,28.56,75.84,0,0
0,28.55,75.83,0,0
0,28.55,75.83,0,0
0,28.55,75.83,0,0
0,28.56,75.85,0,0
0,28.56,75.85,0,0
0,28.57,75.9,0,0
0,28.57,75.9,0,0
0,28.56,75.97,0,0
0,28.56,75.97,0,0
0,28.57,75.99,0,0
0,28.57,75.99,0,0
0,28.57,76.03,0,0
0,28.57,76.03,0,0
0,28.57,76.04,0,0
0,28.57,76.04,0,0
0,28.55,76.02,0,0
0,28.55,76.02,0,0
0,28.56,75.97,0,0
0,28.56,75.97,0,0
0,28.56,75.87,0,0
0,28.56,75.87,0,0
4,29.34,78.09,0,1
10,29.5,77.87,0,1
2,29.5,77.87,0,1
1,29.66,77.46,0,1
1,29.66,77.46,0,1
1,29.83,77.12,0,1
1,29.83,77.12,0,1
1,30.0,76.71,0,1
1,30.0,76.71,0,1
1,30.0,76.71,0,1
2,30.16,76.2,0,1
6,30.16,76.2,0,1
56,30.34,75.58,0,1
80,30.34,75.58,1,1
77,30.48,74.88,1,1
185,30.48,74.88,1,1
198,30.66,74.18,1,1
321,30.66,74.18,1,1
308,30.82,73.57,1,1
450,30.82,73.57,1,1
496,31.01,75.11,1,1
480,31.01,75.11,1,1
336,31.15,79.15,1,1
337,31.15,79.15,1,1
339,31.24,78.86,1,1
343,31.24,78.86,1,1
343,31.3,77.24,1,1
343,31.3,77.24,0,1
343,31.37,75.9,0,1
341,31.37,75.9,0,1
341,31.49,74.97,0,1
339,31.49,74.97,0,1
342,31.49,74.97,0,1
346,31.6,74.19,0,1
342,31.6,74.19,0,1
341,31.72,73.37,0,1
339,31.72,73.37,0,1
338,31.83,72.78,0,1
338,31.83,72.78,0,1
338,31.95,72.3,0,1
338,31.95,72.3,0,1
338,32.08,72.05,0,1
339,32.08,72.05,0,1
339,32.19,72.05,0,1
338,32.19,72.05,0,1
339,32.31,72.03,0,1
339,32.31,72.03,0,1
341,32.43,71.91,0,1
341,32.43,71.91,0,1
341,32.55,71.73,0,1
532,31.42,69.36,1,1
526,31.42,69.36,1,1
359,31.42,69.36,1,1
361,31.4,68.9,1,1
527,31.4,68.9,1,1
535,31.36,68.6,1,1
536,31.36,68.6,1,1
535,31.33,68.23,1,1
529,31.33,68.23,1,1
526,31.3,67.95,1,1
527,31.3,67.95,1,1
527,31.24,67.72,1,1
531,31.24,67.72,1,1
535,31.22,67.56,1,1
535,31.22,67.56,1,1
534,31.19,67.45,1,1
524,31.19,67.45,1,1
525,31.15,67.44,1,1
532,31.15,67.44,1,1
532,31.12,67.38,1,1
528,31.12,67.38,1,1
525,31.09,67.39,1,1
532,31.09,67.39,1,1
534,31.05,67.44,1,1
532,31.05,67.44,1,1
528,31.05,67.44,1,1
518,31.03,67.43,1,1
459,31.03,67.43,1,1
535,31.0,67.46,1,1
535,31.0,67.46,1,1
535,30.97,67.47,1,1
536,30.97,67.47,1,1
538,30.95,67.49,1,1
541,30.95,67.49,1,1
541,30.92,67.5,1,1
541,30.92,67.5,0,1
541,30.89,67.54,0,1
541,30.89,67.54,0,1
542,30.87,67.57,0,1
543,30.87,67.57,0,1
544,30.84,67.66,0,1
543,30.84,67.66,0,1
543,30.79,67.78,0,1
543,30.79,67.78,0,1
545,30.8,67.89,0,1
542,30.8,67.89,0,1
542,30.77,67.96,0,1
542,30.77,67.96,0,1
543,30.77,67.96,0,1
544,30.74,68.1,0,1
542,30.74,68.1,0,1
543,30.71,68.17,0,1
542,30.71,68.17,0,1
542,30.7,68.28,0,1
541,30.7,68.28,0,1
542,30.67,68.37,0,1
543,30.67,68.37,0,1
546,30.63,68.44,0,1
542,30.63,68.44,0,1
543,30.61,68.46,0,1
542,30.61,68.46,0,1
543,30.61,68.43,0,1
542,30.61,68.43,0,1
543,30.58,68.4,0,1
542,30.58,68.4,0,1
542,30.55,68.45,0,1
543,30.55,68.45,0,1
542,30.54,68.48,0,1
543,30.54,68.48,0,1
542,30.5,68.54,0,1
542,30.5,68.54,0,1
542,30.49,68.61,0,1
541,30.49,68.61,0,1
542,30.47,68.67,0,1
543,30.47,68.67,0,1
541,30.47,68.67,0,1
541,30.44,68.75,0,1
542,30.44,68.75,0,1
917,23.02,54.12,1,0
918,23.02,53.73,1,0
918,23.02,53.73,0,0
918,23.01,53.47,0,0
918,23.01,53.47,0,0
917,23.0,53.15,0,0
918,23.0,53.15,0,0
917,22.98,52.9,0,0
917,22.98,52.9,0,0
917,22.96,52.69,0,0
918,22.96,52.69,0,0
917,22.96,52.54,0,0
917,22.96,52.54,0,0
917,22.95,52.4,0,0
916,22.95,52.4,0,0
917,22.94,52.28,1,0
917,22.94,52.28,1,0
917,22.92,52.21,1,0
917,22.92,52.21,1,0
917,22.9,52.11,1,0
918,22.9,52.11,0,0
917,22.9,52.08,0,0
917,22.9,52.08,0,0
918,22.9,52.08,0,0
916,22.89,52.0,0,0
916,22.89,52.0,0,0
918,22.87,51.95,0,0
918,22.87,51.95,0,0
918,22.86,51.86,1,0
917,22.86,51.86,1,0
917,22.85,51.85,1,0
918,22.85,51.85,1,0
917,22.83,51.85,1,0
917,22.83,51.85,0,0
914,22.82,51.83,0,0
917,22.82,51.83,0,0
917,22.82,51.86,0,0
917,22.82,51.86,0,0
917,22.81,51.86,0,0
917,22.81,51.86,0,0
918,22.79,51.87,0,0
983,22.49,53.55,1,0
982,22.49,53.55,1,0
988,22.47,53.56,1,0
980,22.47,53.56,1,0
980,22.47,53.56,1,0
981,22.47,53.56,0,0
979,22.47,53.56,0,0
976,22.47,53.54,0,0
976,22.47,53.54,0,0
977,22.46,53.56,0,0
978,22.46,53.56,0,0
978,22.46,53.51,0,0
976,22.46,53.51,0,0
978,22.45,53.52,0,0
978,22.45,53.52,0,0
977,22.45,53.54,0,0
975,22.45,53.54,0,0
975,22.44,53.55,0,0
975,22.44,53.55,0,0
973,22.45,53.54,0,0
973,22.45,53.54,1,0
971,22.44,53.53,1,0
975,22.44,53.53,1,0
1034,22.42,53.53,1,0
954,22.42,53.53,1,0
1003,22.43,53.57,1,0
997,22.43,53.57,1,0
945,22.43,53.57,1,0
932,22.43,53.57,0,0
930,22.43,53.57,0,0
957,22.4,53.53,0,0
975,22.4,53.53,0,0
986,22.42,53.53,0,0
987,22.42,53.53,0,0
989,22.4,53.5,0,0
986,22.4,53.5,0,0
982,22.4,53.56,0,0
983,22.4,53.56,0,0
987,22.41,53.56,0,0
994,22.41,53.56,1,0
984,22.41,53.55,1,0
979,22.41,53.55,1,0
980,22.4,53.55,1,0
960,22.4,53.55,1,0
957,22.4,53.57,1,0
932,22.4,53.57,1,0
831,22.39,53.54,1,0
860,22.39,53.54,1,0
719,22.4,53.51,1,0
637,22.4,53.51,1,0
939,22.38,53.56,1,0
1015,22.38,53.56,1,0
1035,22.38,53.56,1,0
1092,22.37,53.62,1,0
1111,22.37,53.62,1,0
1135,22.37,53.66,1,0
1134,22.37,53.66,1,0
1134,22.37,53.69,1,0
1128,22.37,53.69,0,0
1110,22.37,53.76,0,0
1110,22.37,53.76,0,0
1122,22.38,53.73,0,0
1121,22.38,53.73,0,0
1123,22.36,53.77,0,0
1128,22.36,53.77,0,0
1052,22.38,53.8,1,0
1087,22.38,53.8,1,0
1153,22.34,53.74,1,0
1138,22.34,53.74,1,0
1110,22.37,53.77,1,0
1084,22.37,53.77,1,0
1072,22.36,53.76,1,0
1052,22.36,53.76,1,0
1052,22.37,53.77,1,0
1076,22.37,53.77,1,0
1048,22.34,53.7,1,0
958,22.34,53.7,1,0
928,22.34,53.71,1,0
929,22.34,53.71,1,0
931,22.34,53.71,1,0
934,22.36,53.68,1,0
944,22.36,53.68,1,0
944,22.34,53.7,1,0
947,22.34,53.7,1,0
913,22.34,53.69,1,0
913,22.34,53.69,1,0
916,22.34,53.77,1,0
916,22.34,53.77,1,0
916,22.33,53.79,1,0
916,22.33,53.79,1,0
916,22.33,53.82,0,0
916,22.33,53.82,0,0
913,22.33,53.88,0,0
916,22.33,53.88,0,0
